labID,participantID,date,birthyear,sex,residence_country,country_of_origin,language,instrument,group_singing,solo_vocal,music_hour,final_rating,final_moves,response_list,trial_di_list,corr_dir_di,response_dir,is_correct,catch1_res,catch2_res,response_time,headphone,goodbye.stopped,met_score,catch1_ans,catch2_ans,catch1_correct,catch2_correct,delta_f,stimuli_direction,delta_t,response_f,instrument_training,musical_level,musical_training_year
1564?participant=55792,e5de84e5-8cbe-4cb4-8a46-a478caad4791,2026-02-23_23h21.43.015,2007.0,female,United States ,United States,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Spanish"",""Column 2"":4,""Column 3"":15,""Column 8"":4,""Column 5"":4,""Column 6"":4,""Column 7"":4},{}]",True,False,False,22.0,11.0,0.0,,main_files/trial_di/07_di_150hz_75db_250ff-10p-20.wav,h,m,False,21.0,1.0,2.7181,Over-ear Beats Solo 3,1797.7813,0.0,21,1,True,True,10,p,20,150.0,True,intermediate,0.0
1564?participant=55792,e5de84e5-8cbe-4cb4-8a46-a478caad4791,2026-02-23_23h21.43.015,2007.0,female,United States ,United States,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Spanish"",""Column 2"":4,""Column 3"":15,""Column 8"":4,""Column 5"":4,""Column 6"":4,""Column 7"":4},{}]",True,False,False,22.0,11.0,0.0,,main_files/trial_di/07_di_150hz_75db_250ff-20n-20.wav,l,m,False,21.0,1.0,1.6798,Over-ear Beats Solo 3,1797.7813,0.0,21,1,True,True,20,n,20,150.0,True,intermediate,0.0
1564?participant=55792,e5de84e5-8cbe-4cb4-8a46-a478caad4791,2026-02-23_23h21.43.015,2007.0,female,United States ,United States,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Spanish"",""Column 2"":4,""Column 3"":15,""Column 8"":4,""Column 5"":4,""Column 6"":4,""Column 7"":4},{}]",True,False,False,22.0,12.0,1.0,12,main_files/trial_di/07_di_150hz_75db_250ff-30p-140.wav,h,h,True,21.0,1.0,3.6502,Over-ear Beats Solo 3,1797.7813,0.0,21,1,True,True,30,p,140,155.0,True,intermediate,0.0
1564?participant=55792,e5de84e5-8cbe-4cb4-8a46-a478caad4791,2026-02-23_23h21.43.015,2007.0,female,United States ,United States,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Spanish"",""Column 2"":4,""Column 3"":15,""Column 8"":4,""Column 5"":4,""Column 6"":4,""Column 7"":4},{}]",True,False,False,22.0,11.0,0.0,,main_files/trial_di/07_di_150hz_75db_250ff-20n-100.wav,l,m,False,21.0,1.0,1.8661,Over-ear Beats Solo 3,1797.7813,0.0,21,1,True,True,20,n,100,150.0,True,intermediate,0.0
1564?participant=55792,e5de84e5-8cbe-4cb4-8a46-a478caad4791,2026-02-23_23h21.43.015,2007.0,female,United States ,United States,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Spanish"",""Column 2"":4,""Column 3"":15,""Column 8"":4,""Column 5"":4,""Column 6"":4,""Column 7"":4},{}]",True,False,False,22.0,11.0,0.0,,main_files/trial_di/07_di_150hz_75db_250ff-10n-140.wav,l,m,False,21.0,1.0,1.6814,Over-ear Beats Solo 3,1797.7813,0.0,21,1,True,True,10,n,140,150.0,True,intermediate,0.0
1564?participant=55792,e5de84e5-8cbe-4cb4-8a46-a478caad4791,2026-02-23_23h21.43.015,2007.0,female,United States ,United States,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Spanish"",""Column 2"":4,""Column 3"":15,""Column 8"":4,""Column 5"":4,""Column 6"":4,""Column 7"":4},{}]",True,False,False,22.0,10.0,1.0,10,main_files/trial_di/07_di_150hz_75db_250ff-40n-120.wav,l,l,True,21.0,1.0,3.2157,Over-ear Beats Solo 3,1797.7813,0.0,21,1,True,True,40,n,120,145.0,True,intermediate,0.0
1564?participant=55792,e5de84e5-8cbe-4cb4-8a46-a478caad4791,2026-02-23_23h21.43.015,2007.0,female,United States ,United States,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Spanish"",""Column 2"":4,""Column 3"":15,""Column 8"":4,""Column 5"":4,""Column 6"":4,""Column 7"":4},{}]",True,False,False,22.0,10.0,1.0,10,main_files/trial_di/07_di_150hz_75db_250ff-40n-60.wav,l,l,True,21.0,1.0,3.7269,Over-ear Beats Solo 3,1797.7813,0.0,21,1,True,True,40,n,60,145.0,True,intermediate,0.0
1564?participant=55792,e5de84e5-8cbe-4cb4-8a46-a478caad4791,2026-02-23_23h21.43.015,2007.0,female,United States ,United States,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Spanish"",""Column 2"":4,""Column 3"":15,""Column 8"":4,""Column 5"":4,""Column 6"":4,""Column 7"":4},{}]",True,False,False,22.0,11.0,0.0,,main_files/trial_di/07_di_150hz_75db_250ff-20p-20.wav,h,m,False,21.0,1.0,1.9908,Over-ear Beats Solo 3,1797.7813,0.0,21,1,True,True,20,p,20,150.0,True,intermediate,0.0
1564?participant=55792,e5de84e5-8cbe-4cb4-8a46-a478caad4791,2026-02-23_23h21.43.015,2007.0,female,United States ,United States,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Spanish"",""Column 2"":4,""Column 3"":15,""Column 8"":4,""Column 5"":4,""Column 6"":4,""Column 7"":4},{}]",True,False,False,22.0,11.0,0.0,,main_files/trial_di/07_di_150hz_75db_250ff-10p-100.wav,h,m,False,21.0,1.0,2.2489,Over-ear Beats Solo 3,1797.7813,0.0,21,1,True,True,10,p,100,150.0,True,intermediate,0.0
1564?participant=55792,e5de84e5-8cbe-4cb4-8a46-a478caad4791,2026-02-23_23h21.43.015,2007.0,female,United States ,United States,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Spanish"",""Column 2"":4,""Column 3"":15,""Column 8"":4,""Column 5"":4,""Column 6"":4,""Column 7"":4},{}]",True,False,False,22.0,10.0,1.0,10,main_files/trial_di/07_di_150hz_75db_250ff-30n-40.wav,l,l,True,21.0,1.0,3.0071,Over-ear Beats Solo 3,1797.7813,0.0,21,1,True,True,30,n,40,145.0,True,intermediate,0.0
1564?participant=55792,e5de84e5-8cbe-4cb4-8a46-a478caad4791,2026-02-23_23h21.43.015,2007.0,female,United States ,United States,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Spanish"",""Column 2"":4,""Column 3"":15,""Column 8"":4,""Column 5"":4,""Column 6"":4,""Column 7"":4},{}]",True,False,False,22.0,10.0,1.0,10,main_files/trial_di/07_di_150hz_75db_250ff-40p-140.wav,h,l,False,21.0,1.0,3.1371,Over-ear Beats Solo 3,1797.7813,0.0,21,1,True,True,40,p,140,145.0,True,intermediate,0.0
1564?participant=55792,e5de84e5-8cbe-4cb4-8a46-a478caad4791,2026-02-23_23h21.43.015,2007.0,female,United States ,United States,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Spanish"",""Column 2"":4,""Column 3"":15,""Column 8"":4,""Column 5"":4,""Column 6"":4,""Column 7"":4},{}]",True,False,False,22.0,11.0,0.0,,main_files/trial_di/07_di_150hz_75db_250ff-000-80.wav,m,m,True,21.0,1.0,1.7276,Over-ear Beats Solo 3,1797.7813,0.0,21,1,True,True,0,0,0,150.0,True,intermediate,0.0
1564?participant=55792,e5de84e5-8cbe-4cb4-8a46-a478caad4791,2026-02-23_23h21.43.015,2007.0,female,United States ,United States,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Spanish"",""Column 2"":4,""Column 3"":15,""Column 8"":4,""Column 5"":4,""Column 6"":4,""Column 7"":4},{}]",True,False,False,22.0,11.0,0.0,,main_files/trial_di/07_di_150hz_75db_250ff-000-40.wav,m,m,True,21.0,1.0,1.6453,Over-ear Beats Solo 3,1797.7813,0.0,21,1,True,True,0,0,0,150.0,True,intermediate,0.0
1564?participant=55792,e5de84e5-8cbe-4cb4-8a46-a478caad4791,2026-02-23_23h21.43.015,2007.0,female,United States ,United States,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Spanish"",""Column 2"":4,""Column 3"":15,""Column 8"":4,""Column 5"":4,""Column 6"":4,""Column 7"":4},{}]",True,False,False,22.0,10.0,2.0,"9,10",main_files/trial_di/07_di_150hz_75db_250ff-30n-100.wav,l,l,True,21.0,1.0,5.1353,Over-ear Beats Solo 3,1797.7813,0.0,21,1,True,True,30,n,100,145.0,True,intermediate,0.0
1564?participant=55792,e5de84e5-8cbe-4cb4-8a46-a478caad4791,2026-02-23_23h21.43.015,2007.0,female,United States ,United States,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Spanish"",""Column 2"":4,""Column 3"":15,""Column 8"":4,""Column 5"":4,""Column 6"":4,""Column 7"":4},{}]",True,False,False,22.0,11.0,0.0,,main_files/trial_di/07_di_150hz_75db_250ff-30p-40.wav,h,m,False,21.0,1.0,3.984,Over-ear Beats Solo 3,1797.7813,0.0,21,1,True,True,30,p,40,150.0,True,intermediate,0.0
1564?participant=55792,e5de84e5-8cbe-4cb4-8a46-a478caad4791,2026-02-23_23h21.43.015,2007.0,female,United States ,United States,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Spanish"",""Column 2"":4,""Column 3"":15,""Column 8"":4,""Column 5"":4,""Column 6"":4,""Column 7"":4},{}]",True,False,False,22.0,11.0,0.0,,main_files/trial_di/07_di_150hz_75db_250ff-000-140.wav,m,m,True,21.0,1.0,1.7132,Over-ear Beats Solo 3,1797.7813,0.0,21,1,True,True,0,0,0,150.0,True,intermediate,0.0
