participant,final_rating,final_moves,response_list,response_dir,is_correct,trial_list,rt,met_score,stimuli_type,delta_f,stimuli_direction,delta_t,response_f
1727,10.0,17.0,"1,4,7,6,10,9,12,20,16,20,16,11,12,10,11,9,10",l,False,main_files/trial_di/07_di_cross_150hz_75db_250ff-20p-120.wav,53.7365,25.0,di,20,p,120,145.0
1727,11.0,6.0,"20,13,12,11,10,11",m,True,main_files/trial_di/07_di_cross_150hz_75db_250ff-000-40.wav,13.1564,25.0,di,0,0,0,150.0
1727,10.0,26.0,"7,8,9,10,11,12,11,10,9,10,8,10,14,13,20,18,9,1,2,3,8,9,20,8,9,10",l,False,main_files/trial_di/07_di_cross_150hz_75db_250ff-40p-250.wav,83.5181,25.0,di,40,p,250,145.0
1727,5.0,12.0,"20,19,20,19,3,4,5,6,7,4,6,5",l,True,main_files/trial_di/07_di_cross_150hz_75db_250ff-20n-250.wav,42.5801,25.0,di,20,n,250,120.0
1727,11.0,0.0,,l,True,main_files/trial_di/07_di_cross_150hz_75db_250ff-40n-100.wav,0.0,25.0,di,40,n,100,150.0
1727,11.0,5.0,"20,10,11,12,11",m,False,main_files/trial_di/07_di_cross_150hz_75db_250ff-30p-100.wav,13.4142,25.0,di,30,p,100,150.0
1727,12.0,2.0,"13,12",h,False,main_files/trial_di/07_di_cross_150hz_75db_250ff-10n-60.wav,4.6777,25.0,di,10,n,60,155.0
1727,10.0,2.0,"9,10",l,True,main_files/trial_di/07_di_cross_150hz_75db_250ff-20n-40.wav,4.5615,25.0,di,20,n,40,145.0
1727,11.0,3.0,"10,12,11",m,False,main_files/trial_di/07_di_cross_150hz_75db_250ff-20p-100.wav,7.5035,25.0,di,20,p,100,150.0
1727,11.0,9.0,"10,13,12,13,11,10,9,12,11",m,False,main_files/trial_di/07_di_cross_150hz_75db_250ff-30p-40.wav,18.4565,25.0,di,30,p,40,150.0
1727,9.0,5.0,"10,9,10,8,9",l,True,main_files/trial_di/07_di_cross_150hz_75db_250ff-30n-100.wav,9.7528,25.0,di,30,n,100,140.0
1727,11.0,8.0,"10,13,20,13,12,11,10,11",m,False,main_files/trial_di/07_di_cross_150hz_75db_250ff-30p-120.wav,17.6639,25.0,di,30,p,120,150.0
1727,9.0,4.0,"10,9,8,9",l,True,main_files/trial_di/07_di_cross_150hz_75db_250ff-30n-250.wav,9.1121,25.0,di,30,n,250,140.0
1727,11.0,7.0,"12,10,15,14,13,12,11",m,False,main_files/trial_di/07_di_cross_150hz_75db_250ff-30p-60.wav,14.4556,25.0,di,30,p,60,150.0
1727,11.0,5.0,"20,10,11,10,11",m,False,main_files/trial_di/07_di_cross_150hz_75db_250ff-10p-100.wav,13.4784,25.0,di,10,p,100,150.0
1727,12.0,1.0,12,h,True,main_files/trial_di/07_di_cross_150hz_75db_250ff-40p-100.wav,2.7196,25.0,di,40,p,100,155.0
1727,11.0,4.0,"10,12,9,11",m,True,main_files/trial_di/07_di_cross_150hz_75db_250ff-000-80.wav,8.9461,25.0,di,0,0,0,150.0
1727,11.0,4.0,"20,14,12,11",m,True,main_files/trial_di/07_di_cross_150hz_75db_250ff-000-120.wav,8.6444,25.0,di,0,0,0,150.0
1727,11.0,3.0,"10,12,11",m,True,main_files/trial_di/07_di_cross_150hz_75db_250ff-000-60.wav,6.5529,25.0,di,0,0,0,150.0
1727,11.0,11.0,"1,8,10,5,11,10,13,12,11,12,11",m,False,main_files/trial_di/07_di_cross_150hz_75db_250ff-20p-80.wav,24.1625,25.0,di,20,p,80,150.0
1727,10.0,4.0,"9,10,8,10",l,True,main_files/trial_di/07_di_cross_150hz_75db_250ff-20n-100.wav,9.078,25.0,di,20,n,100,145.0
1727,10.0,2.0,"9,10",l,True,main_files/trial_di/07_di_cross_150hz_75db_250ff-10n-250.wav,4.1118,25.0,di,10,n,250,145.0
