participant,final_rating,trial_list,rt,stimuli_type,delta_f,stimuli_direction,delta_t,response_f
TimoR,12.0,main_files/trial_i/07_i_150hz_75db_250ff-20n-40.wav,3.696,i,20,n,40,155.0
TimoR,11.0,main_files/trial_i/07_i_150hz_75db_250ff-30n-60.wav,4.4291,i,30,n,60,150.0
TimoR,13.0,main_files/trial_i/07_i_150hz_75db_250ff-30p-100.wav,2.0982,i,30,p,100,160.0
TimoR,9.0,main_files/trial_i/07_i_150hz_75db_250ff-10p-80.wav,11.5487,i,10,p,80,140.0
TimoR,9.0,main_files/trial_i/07_i_150hz_75db_250ff-20p-80.wav,5.6422,i,20,p,80,140.0
TimoR,13.0,main_files/trial_i/07_i_150hz_75db_250ff-40n-120.wav,3.9684,i,40,n,120,160.0
TimoR,13.0,main_files/trial_i/07_i_150hz_75db_250ff-30p-120.wav,2.0454,i,30,p,120,160.0
TimoR,13.0,main_files/trial_i/07_i_150hz_75db_250ff-40n-60.wav,75.4321,i,40,n,60,160.0
TimoR,7.0,main_files/trial_i/07_i_150hz_75db_250ff-10n-120.wav,3.5481,i,10,n,120,130.0
TimoR,11.0,main_files/trial_i/07_i_150hz_75db_250ff-30p-80.wav,14.2674,i,30,p,80,150.0
TimoR,15.0,main_files/trial_i/07_i_150hz_75db_250ff-40n-100.wav,2.4448,i,40,n,100,170.0
TimoR,12.0,main_files/trial_i/07_i_150hz_75db_250ff-000-80.wav,2.4438,i,0,0,0,155.0
TimoR,9.0,main_files/trial_i/07_i_150hz_75db_250ff-30n-80.wav,1.9991,i,30,n,80,140.0
TimoR,14.0,main_files/trial_i/07_i_150hz_75db_250ff-30n-120.wav,1.8888,i,30,n,120,165.0
TimoR,12.0,main_files/trial_i/07_i_150hz_75db_250ff-20p-60.wav,2.4113,i,20,p,60,155.0
TimoR,11.0,main_files/trial_i/07_i_150hz_75db_250ff-10n-40.wav,0.0,i,10,n,40,150.0
TimoR,14.0,main_files/trial_i/07_i_150hz_75db_250ff-40p-60.wav,5.811,i,40,p,60,165.0
TimoR,10.0,main_files/trial_i/07_i_150hz_75db_250ff-000-60.wav,2.3641,i,0,0,0,145.0
TimoR,12.0,main_files/trial_i/07_i_150hz_75db_250ff-000-40.wav,2.0107,i,0,0,0,155.0
TimoR,11.0,main_files/trial_i/07_i_150hz_75db_250ff-20p-100.wav,0.0,i,20,p,100,150.0
TimoR,7.0,main_files/trial_i/07_i_150hz_75db_250ff-30n-100.wav,2.8975,i,30,n,100,130.0
TimoR,12.0,main_files/trial_i/07_i_150hz_75db_250ff-20n-100.wav,2.2979,i,20,n,100,155.0
TimoR,8.0,main_files/trial_i/07_i_150hz_75db_250ff-30n-40.wav,4.7991,i,30,n,40,135.0
TimoR,11.0,main_files/trial_i/07_i_150hz_75db_250ff-10n-80.wav,4.8815,i,10,n,80,150.0
TimoR,8.0,main_files/trial_i/07_i_150hz_75db_250ff-40p-80.wav,10.4038,i,40,p,80,135.0
TimoR,9.0,main_files/trial_i/07_i_150hz_75db_250ff-40p-100.wav,1.6124,i,40,p,100,140.0
TimoR,10.0,main_files/trial_i/07_i_150hz_75db_250ff-000-100.wav,3.5933,i,0,0,0,145.0
TimoR,15.0,main_files/trial_i/07_i_150hz_75db_250ff-40n-80.wav,3.2195,i,40,n,80,170.0
TimoR,10.0,main_files/trial_i/07_i_150hz_75db_250ff-20p-120.wav,3.6186,i,20,p,120,145.0
TimoR,12.0,main_files/trial_i/07_i_150hz_75db_250ff-10p-60.wav,2.0259,i,10,p,60,155.0
TimoR,9.0,main_files/trial_i/07_i_150hz_75db_250ff-40p-40.wav,6.5264,i,40,p,40,140.0
TimoR,12.0,main_files/trial_i/07_i_150hz_75db_250ff-30p-40.wav,2.0321,i,30,p,40,155.0
TimoR,12.0,main_files/trial_i/07_i_150hz_75db_250ff-40n-40.wav,5.7979,i,40,n,40,155.0
TimoR,10.0,main_files/trial_i/07_i_150hz_75db_250ff-20n-120.wav,2.314,i,20,n,120,145.0
TimoR,10.0,main_files/trial_i/07_i_150hz_75db_250ff-30p-60.wav,4.7862,i,30,p,60,145.0
TimoR,12.0,main_files/trial_i/07_i_150hz_75db_250ff-000-120.wav,2.2153,i,0,0,0,155.0
TimoR,11.0,main_files/trial_i/07_i_150hz_75db_250ff-10n-100.wav,2.2639,i,10,n,100,150.0
