wals code,name,value,description,latitude,longitude,genus,family
ham,Hamtai,2,Simple tone system,-7.5,146.25,Nuclear Angan,Trans-New Guinea
hau,Hausa,2,Simple tone system,12.0,7.0,West Chadic,Afro-Asiatic
haw,Hawaiian,1,No tones,19.5833333333,-155.5,Oceanic,Austronesian
hba,Hebrew (Modern Ashkenazic),1,No tones,31.75,35.1666666667,Semitic,Afro-Asiatic
hin,Hindi,1,No tones,25.0,77.0,Indic,Indo-European
hix,Hixkaryana,1,No tones,-1.0,-59.0,Cariban,Cariban
hmo,Hmong Njua,3,Complex tone system,28.0,105.0,Hmongic,Hmong-Mien
hop,Hopi,2,Simple tone system,36.0,-110.0,Northern Uto-Aztecan,Uto-Aztecan
htc,Huastec,1,No tones,22.0833333333,-99.3333333333,Mayan,Mayan
hve,Huave (San Mateo del Mar),2,Simple tone system,16.2166666667,-95.0,Huavean,Huavean
hum,Huitoto (Murui),1,No tones,-1.0,-73.5,Witoto,Witotoan
hun,Hungarian,1,No tones,47.0,20.0,Ugric,Uralic
hzb,Hunzib,1,No tones,42.1666666667,46.25,Avar-Andic-Tsezic,Nakh-Daghestanian
hup,Hupa,1,No tones,41.0833333333,-123.666666667,Athapaskan,Na-Dene
iaa,Iaai,1,No tones,-20.4166666667,166.583333333,Oceanic,Austronesian
iba,Iban,1,No tones,2.0,112.0,Malayo-Sumbawan,Austronesian
igb,Igbo,2,Simple tone system,6.0,7.33333333333,Igboid,Niger-Congo
ijo,Ijo (Kolokuma),2,Simple tone system,4.91666666667,5.66666666667,Ijoid,Ijoid
ik,Ik,2,Simple tone system,3.75,34.1666666667,Kuliak,Eastern Sudanic
ika,Ika,1,No tones,10.6666666667,-73.75,Arhuacic,Chibchan
imo,Imonda,1,No tones,-3.33333333333,141.166666667,Border,Border
ind,Indonesian,1,No tones,0.0,106.0,Malayo-Sumbawan,Austronesian
igs,Ingessana,2,Simple tone system,11.5,34.0,Eastern Jebel,Eastern Sudanic
ing,Ingush,1,No tones,43.1666666667,45.0833333333,Nakh,Nakh-Daghestanian
irx,Iranxe,1,No tones,-13.0,-58.0,Iranxe,Iranxe
irq,Iraqw,2,Simple tone system,-4.0,35.5,Southern Cushitic,Afro-Asiatic
irr,Irarutu,1,No tones,-3.0,133.5,South Halmahera - West New Guinea,Austronesian
ird,Irish (Donegal),1,No tones,55.0,-8.0,Celtic,Indo-European
iso,Isoko,2,Simple tone system,5.5,6.25,Edoid,Niger-Congo
iva,Ivatan,1,No tones,20.5,122.0,Batanic,Austronesian
jak,Jakaltek,1,No tones,15.6666666667,-91.6666666667,Mayan,Mayan
jpn,Japanese,2,Simple tone system,37.0,140.0,Japanese,Japanese
jpr,Japreria,1,No tones,10.5,-73.0,Cariban,Cariban
jaq,Jaqaru,1,No tones,-13.0,-76.0,Aymaran,Aymaran
jav,Javanese,1,No tones,-7.0,111.0,Javanese,Austronesian
jeb,Jebero,1,No tones,-5.41666666667,-76.5,Cahuapanan,Cahuapanan
jeh,Jeh,1,No tones,15.1666666667,107.833333333,Bahnaric,Austro-Asiatic
jng,Jingpho,3,Complex tone system,25.4166666667,97.0,Brahmaputran,Sino-Tibetan
jom,Jomang,2,Simple tone system,10.5833333333,30.5,Talodi,Kordofanian
juh,Ju|'hoan,3,Complex tone system,-19.0,21.0,Ju-Kung,Kxa
kab,Kabardian,1,No tones,43.5,43.5,Northwest Caucasian,Northwest Caucasian
kad,Kadugli,3,Complex tone system,11.0,29.6666666667,Kadugli,Kadu
kng,Kaingang,1,No tones,-26.0,-52.0,Je Meridional,Macro-Ge
kly,Kala Lagaw Ya,1,No tones,-10.1166666667,142.116666667,Northern Pama-Nyungan,Pama-Nyungan
kal,Kalami,2,Simple tone system,35.5,72.5,Indic,Indo-European
