"","n_subj","tau_true","sim_n","tau_med","p_gt_star","p_lt_star"
"126",50,0,126,0.0211212232584291,0,1
"127",50,0,127,0.0232975676899409,0,1
"128",50,0,128,0.0857642533258201,0,1
"129",50,0,129,0.0171908541010502,0,1
"130",50,0,130,0.0404720613903295,0,1
"131",50,0,131,0.0165381236309239,0,1
"132",50,0,132,0.0311595923135627,0,1
"133",50,0,133,0.0261017716602878,0,1
"134",50,0,134,0.0213501842764056,0,1
"135",50,0,135,0.0350567600029846,0,1
"136",50,0,136,0.0321406898582822,0,1
"137",50,0,137,0.045902144090333,0,1
"138",50,0,138,0.0148184682583395,0,1
"139",50,0,139,0.085365161584021,0,1
"140",50,0,140,0.0434404726191507,0,1
"141",50,0,141,0.0215792113899098,0,1
"142",50,0,142,0.0186245511645211,0,1
"143",50,0,143,0.0228014259803508,0,1
"144",50,0,144,0.0299598093028626,0,1
"145",50,0,145,0.0199720732633976,0,1
"146",50,0,146,0.0404217036260544,0,1
"147",50,0,147,0.0195364358907848,0,1
"148",50,0,148,0.0849852990789548,0.000625,0.999375
"149",50,0,149,0.0248297780693714,0,1
"150",50,0,150,0.0454426948756615,0,1
"151",50,0.122798943911831,1,0.108888668130082,0.000375,0.999625
"152",50,0.122798943911831,2,0.145451220612966,0.009375,0.990625
"153",50,0.122798943911831,3,0.11739506041158,0.00075,0.99925
"154",50,0.122798943911831,4,0.138493915410496,0.006875,0.993125
"155",50,0.122798943911831,5,0.0791519539545606,0,1
"156",50,0.122798943911831,6,0.185024346318819,0.07775,0.92225
"157",50,0.122798943911831,7,0.100244486728885,5e-04,0.9995
"158",50,0.122798943911831,8,0.12774917459265,0.0025,0.9975
"159",50,0.122798943911831,9,0.121205580232236,0.001,0.999
"160",50,0.122798943911831,10,0.125611931721917,0.002875,0.997125
"161",50,0.122798943911831,11,0.121329446241144,0.00075,0.99925
"162",50,0.122798943911831,12,0.100313292886844,0.00025,0.99975
"163",50,0.122798943911831,13,0.151220859148479,0.013375,0.986625
"164",50,0.122798943911831,14,0.17487840031146,0.05825,0.94175
"165",50,0.122798943911831,15,0.117262000569593,0.001,0.999
"166",50,0.122798943911831,16,0.0775341282982511,0,1
"167",50,0.122798943911831,17,0.10971931421144,0.000625,0.999375
"168",50,0.122798943911831,18,0.152584942341852,0.011875,0.988125
"169",50,0.122798943911831,19,0.138779231174171,0.00425,0.99575
"170",50,0.122798943911831,20,0.141952060030334,0.00875,0.99125
"171",50,0.122798943911831,21,0.0276975019933142,0,1
"172",50,0.122798943911831,22,0.141398224249302,0.004625,0.995375
"173",50,0.122798943911831,23,0.18378228995511,0.071625,0.928375
"174",50,0.122798943911831,24,0.115694674258636,0.001,0.999
"175",50,0.122798943911831,25,0.137696095749538,0.00525,0.99475
"176",50,0.122798943911831,26,0.100818680850888,0.000625,0.999375
"177",50,0.122798943911831,27,0.174032690990246,0.047125,0.952875
"178",50,0.122798943911831,28,0.0828729178081208,0,1
"179",50,0.122798943911831,29,0.0843494795848008,0,1
"180",50,0.122798943911831,30,0.109172949920267,0.000125,0.999875
"181",50,0.122798943911831,31,0.10358838109564,0,1
"182",50,0.122798943911831,32,0.15956441549106,0.022125,0.977875
"183",50,0.122798943911831,33,0.169902419585388,0.0385,0.9615
"184",50,0.122798943911831,34,0.126945621487827,0.001125,0.998875
"185",50,0.122798943911831,35,0.0880484348326919,0.000375,0.999625
"186",50,0.122798943911831,36,0.121199957537425,0.00175,0.99825
"187",50,0.122798943911831,37,0.135071466676235,0.004125,0.995875
"188",50,0.122798943911831,38,0.121244472062473,0.001375,0.998625
"189",50,0.122798943911831,39,0.137377292166117,0.001875,0.998125
"190",50,0.122798943911831,40,0.141314949830491,0.007375,0.992625
"191",50,0.122798943911831,41,0.134307761145936,0.0035,0.9965
"192",50,0.122798943911831,42,0.166204481267284,0.032375,0.967625
"193",50,0.122798943911831,43,0.122963019049359,0.001625,0.998375
"194",50,0.122798943911831,44,0.112219250055184,5e-04,0.9995
"195",50,0.122798943911831,45,0.128140108075749,0.0015,0.9985
"196",50,0.122798943911831,46,0.0879363546494779,0,1
"197",50,0.122798943911831,47,0.125644655470681,0.001625,0.998375
"198",50,0.122798943911831,48,0.103658267271136,0.000375,0.999625
"199",50,0.122798943911831,49,0.165375123269575,0.028375,0.971625
"200",50,0.122798943911831,50,0.15990552812459,0.02275,0.97725
"201",50,0.122798943911831,51,0.127901401661831,0.002,0.998
"202",50,0.122798943911831,52,0.151794081912875,0.014,0.986
"203",50,0.122798943911831,53,0.0983314957566216,0.00025,0.99975
"204",50,0.122798943911831,54,0.0970046762635818,0.000125,0.999875
"205",50,0.122798943911831,55,0.133632623561992,0.003,0.997
"206",50,0.122798943911831,56,0.172533568888203,0.04625,0.95375
"207",50,0.122798943911831,57,0.108948039549074,0.00075,0.99925
"208",50,0.122798943911831,58,0.141925523546586,0.006375,0.993625
"209",50,0.122798943911831,59,0.0910905602256331,0.000375,0.999625
"210",50,0.122798943911831,60,0.128529538082338,0.002625,0.997375
"211",50,0.122798943911831,61,0.130512744754401,0.002125,0.997875
"212",50,0.122798943911831,62,0.132900238806486,0.003,0.997
"213",50,0.122798943911831,63,0.121824683417995,0.00275,0.99725
"214",50,0.122798943911831,64,0.13329490432986,0.004,0.996
"215",50,0.122798943911831,65,0.124057004091943,0.001625,0.998375
"216",50,0.122798943911831,66,0.110728292369514,0.00075,0.99925
"217",50,0.122798943911831,67,0.101157059268757,0.000125,0.999875
"218",50,0.122798943911831,68,0.113448222815871,5e-04,0.9995
"219",50,0.122798943911831,69,0.0787500964525261,0.00025,0.99975
"220",50,0.122798943911831,70,0.0999970336212669,0.00025,0.99975
"221",50,0.122798943911831,71,0.106985840658069,0.000125,0.999875
"222",50,0.122798943911831,72,0.0987865272023296,0.000125,0.999875
"223",50,0.122798943911831,73,0.10694421567975,0.000125,0.999875
"224",50,0.122798943911831,74,0.0965982352010267,5e-04,0.9995
"225",50,0.122798943911831,75,0.152842558143739,0.013,0.987
"226",50,0.122798943911831,76,0.138396014151645,0.007125,0.992875
"227",50,0.122798943911831,77,0.101022210168418,5e-04,0.9995
"228",50,0.122798943911831,78,0.0985430306226898,0.000125,0.999875
"229",50,0.122798943911831,79,0.155156951788888,0.01275,0.98725
"230",50,0.122798943911831,80,0.11962927836662,0.0015,0.9985
"231",50,0.122798943911831,81,0.173445676045182,0.047625,0.952375
"232",50,0.122798943911831,82,0.14531733441019,0.013375,0.986625
"233",50,0.122798943911831,83,0.122844974452935,0.00125,0.99875
"234",50,0.122798943911831,84,0.0990224628075676,0.00075,0.99925
"235",50,0.122798943911831,85,0.118537424832243,0.0025,0.9975
"236",50,0.122798943911831,86,0.165066275516981,0.029125,0.970875
"237",50,0.122798943911831,87,0.107259160707889,0.00075,0.99925
"238",50,0.122798943911831,88,0.136139515067731,0.0035,0.9965
"239",50,0.122798943911831,89,0.135273172495308,0.0055,0.9945
"240",50,0.122798943911831,90,0.110880745650693,0.00075,0.99925
"241",50,0.122798943911831,91,0.103288683844543,0.00025,0.99975
"242",50,0.122798943911831,92,0.102900316992652,0.000125,0.999875
"243",50,0.122798943911831,93,0.103542362477211,0.000875,0.999125
"244",50,0.122798943911831,94,0.118997503076265,0.0015,0.9985
"245",50,0.122798943911831,95,0.125166551979049,0.002875,0.997125
"246",50,0.122798943911831,96,0.15031371080989,0.01075,0.98925
"247",50,0.122798943911831,97,0.109341714475504,0.000125,0.999875
"248",50,0.122798943911831,98,0.0806109379425114,0,1
"249",50,0.122798943911831,99,0.0868037744297206,0,1
"250",50,0.122798943911831,100,0.17102613792404,0.0385,0.9615
"251",50,0.122798943911831,101,0.112612400443598,0.000625,0.999375
"252",50,0.122798943911831,102,0.146881744882416,0.008625,0.991375
"253",50,0.122798943911831,103,0.144898503498837,0.010625,0.989375
"254",50,0.122798943911831,104,0.0949395057859555,0.000125,0.999875
"255",50,0.122798943911831,105,0.129670213985881,0.003375,0.996625
