"","subject_condition","sim_n","BF","subj_n"
"145","beta1","sim145",116.647058823529,40
"146","beta1","sim146",1332.33333333333,40
"147","beta1","sim147",33.7826086956522,40
"148","beta1","sim148",24.5591054313099,40
"149","beta1","sim149",1.90909090909091,40
"150","beta1","sim150",31.7868852459016,40
"151","beta1","sim151",87.8888888888889,40
"152","beta1","sim152",Inf,40
"153","beta1","sim153",62.4920634920635,40
"154","beta1","sim154",14.3846153846154,40
"155","beta1","sim155",1999,40
"156","beta1","sim156",54.5555555555556,40
"157","beta1","sim157",9.84010840108401,40
"158","beta1","sim158",Inf,40
"159","beta1","sim159",28.520295202952,40
"160","beta1","sim160",799,40
"161","beta1","sim161",Inf,40
"162","beta1","sim162",34.8744394618834,40
"163","beta1","sim163",215.216216216216,40
"164","beta1","sim164",3.14722654224987,40
"165","beta1","sim165",114.942028985507,40
"166","beta1","sim166",93.1176470588235,40
"167","beta1","sim167",22.6686390532544,40
"168","beta1","sim168",23.8447204968944,40
"169","beta1","sim169",665.666666666667,40
"170","beta1","sim170",319,40
"171","beta1","sim171",Inf,40
"172","beta1","sim172",1332.33333333333,40
"173","beta1","sim173",346.826086956522,40
"174","beta1","sim174",Inf,40
"175","beta1","sim175",43.1988950276243,40
"176","beta1","sim176",Inf,40
"177","beta1","sim177",5.7396798652064,40
"178","beta1","sim178",7999,40
"179","beta1","sim179",1999,40
"180","beta1","sim180",54.9440559440559,40
"181","beta1","sim181",19.9424083769633,40
"182","beta1","sim182",665.666666666667,40
"183","beta1","sim183",180.818181818182,40
"184","beta1","sim184",420.052631578947,40
"185","beta1","sim185",8.70873786407767,40
"186","beta1","sim186",1332.33333333333,40
"187","beta1","sim187",4.4757015742642,40
"188","beta1","sim188",8.63855421686747,40
"189","beta1","sim189",221.222222222222,40
"190","beta1","sim190",379.952380952381,40
"191","beta1","sim191",362.636363636364,40
"192","beta1","sim192",13.1342756183746,40
"193","beta1","sim193",17.8235294117647,40
"194","beta1","sim194",44.1977401129944,40
"195","beta1","sim195",13.0105078809107,40
"196","beta1","sim196",114.942028985507,40
"197","beta1","sim197",134.593220338983,40
"198","beta1","sim198",14.1515151515152,40
"199","beta1","sim199",3.41501103752759,40
"200","beta1","sim200",Inf,40
"201","beta2","sim1",1599,45
"202","beta2","sim2",33.4827586206897,45
"203","beta2","sim3",3.0506329113924,45
"204","beta2","sim4",2665.66666666667,45
"205","beta2","sim5",665.666666666667,45
"206","beta2","sim6",221.222222222222,45
"207","beta2","sim7",9.17811704834606,45
"208","beta2","sim8",17.7793427230047,45
"209","beta2","sim9",Inf,45
"210","beta2","sim10",614.384615384615,45
"211","beta2","sim11",241.424242424242,45
"212","beta2","sim12",999,45
"213","beta2","sim13",61.015503875969,45
"214","beta2","sim14",999,45
"215","beta2","sim15",69.1754385964912,45
"216","beta2","sim16",284.714285714286,45
"217","beta2","sim17",3999,45
"218","beta2","sim18",85.0215053763441,45
"219","beta2","sim19",Inf,45
"220","beta2","sim20",152.846153846154,45
"221","beta2","sim21",Inf,45
"222","beta2","sim22",1332.33333333333,45
"223","beta2","sim23",10.5606936416185,45
"224","beta2","sim24",Inf,45
"225","beta2","sim25",249,45
"226","beta2","sim26",1.38308013106941,45
"227","beta2","sim27",0.206818524664354,45
"228","beta2","sim28",1599,45
"229","beta2","sim29",77.4313725490196,45
"230","beta2","sim30",Inf,45
"231","beta2","sim31",1141.85714285714,45
"232","beta2","sim32",Inf,45
"233","beta2","sim33",227.571428571429,45
"234","beta2","sim34",74.4716981132076,45
"235","beta2","sim35",Inf,45
"236","beta2","sim36",39,45
"237","beta2","sim37",Inf,45
"238","beta2","sim38",Inf,45
"239","beta2","sim39",52.6912751677852,45
