participantID,P_prop
0o9z,0.07741166516651274
hn6z,0.006334094360130822
ojp2,0.04609399364782876
oqzu,-0.005553296751735342
2wnt,0.07287766160587716
el7z,0.029977002713702693
3lhr,0.024384534785274605
43xy,0.003032614835891917
nmp5,0.03713992665850458
512k,0.0663888302115468
194w,0.024385555888001773
z8sb,0.010708512360564465
j8ys,0.09458548953111266
1hnh,0.03920990369478131
hqci,0.022636987761543836
vfsg,0.06177483229608952
8k7s,0.07473779726593385
0cd4,0.01810717785698695
sovg,0.082227439039502
d5fu,0.05076176314171344
xtv5,0.21970182933636598
lu5j,0.056805434963581036
exmb,0.0805727581431355
p01n,0.02363280349282835
xord,0.05655093633233751
x1uv,0.0011986547013519693
q9r9,0.07517593336547151
rwyp,0.051926209686141866
uvgq,0.04033946665963428
g8gc,0.13152673259664133
u0gw,0.026555362844171107
r1u7,0.23949773683314707
f2cb,0.3074564764286338
0tu5,0.046694249845326705
