labID,participantID,date,prolific_pid,study_id,session_id,birthyear,sex,residence_country,country_of_origin,language,instrument,instrument_training,musical_level,musical_training_year,group_singing,group_singing_year,solo_vocal,solo_vocal_year,music_hour,final_rating,final_moves,response_list,trial_tone_list,trial_i_list,trial_di_list,tone_trials.thisN,cv_trials.thisN,corr_dir_di,response_dir,is_correct,is_catch,tone_slider.response,cv_slider.response,catch1_res,catch2_res,response_time,headphone,goodbye.stopped,met_score,catch_n_found,catch_tone_loop_res,catch_tone_loop_ans,catch_tone_loop_correct,catch_tone_end_res,catch_tone_end_ans,catch_tone_end_correct,catch_cv_loop_res,catch_cv_loop_ans,catch_cv_loop_correct,catch_cv_end_res,catch_cv_end_ans,catch_cv_end_correct,catch1_ans,catch2_ans,catch1_correct,catch2_correct,delta_f,stimuli_direction,delta_t,response_f
unknown_lab,ea57eb5a-74a8-4452-9839-6d0923408342,2026-05-31_23h49.02.675,6a088a5e43d21c6f1cbf1133,6a1c801cda008e26918c5e33,6a1cba924c3a9b0396f17cc1,2007,male,United Kingdom,United Kingdom,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Polish"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1}]",TRUE,TRUE,intermediate,3,TRUE,1,FALSE,,14,12.0,6,"12,9,10,12,11,12",,,main_files/trial_di/07_di_150hz_75db_250ff-40p-40.wav,0,,h,h,TRUE,0,12,,21,1,12.687,Razer Blackshark V2,2388.0448,38.0,4,1,1,True,21,21,True,1,1,True,1,1,True,21,1,True,True,40,p,40,155.0
unknown_lab,ea57eb5a-74a8-4452-9839-6d0923408342,2026-05-31_23h49.02.675,6a088a5e43d21c6f1cbf1133,6a1c801cda008e26918c5e33,6a1cba924c3a9b0396f17cc1,2007,male,United Kingdom,United Kingdom,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Polish"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1}]",TRUE,TRUE,intermediate,3,TRUE,1,FALSE,,14,11.0,5,"12,10,11,12,11",,,main_files/trial_di/07_di_150hz_75db_250ff-10p-100.wav,1,,h,m,FALSE,0,11,,21,1,10.9274,Razer Blackshark V2,2388.0448,38.0,4,1,1,True,21,21,True,1,1,True,1,1,True,21,1,True,True,10,p,100,150.0
unknown_lab,ea57eb5a-74a8-4452-9839-6d0923408342,2026-05-31_23h49.02.675,6a088a5e43d21c6f1cbf1133,6a1c801cda008e26918c5e33,6a1cba924c3a9b0396f17cc1,2007,male,United Kingdom,United Kingdom,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Polish"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1}]",TRUE,TRUE,intermediate,3,TRUE,1,FALSE,,14,11.0,3,"10,12,11",,,main_files/trial_di/07_di_150hz_75db_250ff-000-120.wav,2,,m,m,TRUE,0,11,,21,1,8.9007,Razer Blackshark V2,2388.0448,38.0,4,1,1,True,21,21,True,1,1,True,1,1,True,21,1,True,True,0,0,0,150.0
unknown_lab,ea57eb5a-74a8-4452-9839-6d0923408342,2026-05-31_23h49.02.675,6a088a5e43d21c6f1cbf1133,6a1c801cda008e26918c5e33,6a1cba924c3a9b0396f17cc1,2007,male,United Kingdom,United Kingdom,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Polish"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1}]",TRUE,TRUE,intermediate,3,TRUE,1,FALSE,,14,12.0,4,"13,12,13,12",,,main_files/trial_di/07_di_150hz_75db_250ff-20p-140.wav,3,,h,h,TRUE,0,12,,21,1,11.1285,Razer Blackshark V2,2388.0448,38.0,4,1,1,True,21,21,True,1,1,True,1,1,True,21,1,True,True,20,p,140,155.0
unknown_lab,ea57eb5a-74a8-4452-9839-6d0923408342,2026-05-31_23h49.02.675,6a088a5e43d21c6f1cbf1133,6a1c801cda008e26918c5e33,6a1cba924c3a9b0396f17cc1,2007,male,United Kingdom,United Kingdom,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Polish"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1}]",TRUE,TRUE,intermediate,3,TRUE,1,FALSE,,14,11.0,5,"12,10,11,12,11",,,main_files/trial_di/07_di_150hz_75db_250ff-30p-80.wav,4,,h,m,FALSE,0,11,,21,1,12.745,Razer Blackshark V2,2388.0448,38.0,4,1,1,True,21,21,True,1,1,True,1,1,True,21,1,True,True,30,p,80,150.0
unknown_lab,ea57eb5a-74a8-4452-9839-6d0923408342,2026-05-31_23h49.02.675,6a088a5e43d21c6f1cbf1133,6a1c801cda008e26918c5e33,6a1cba924c3a9b0396f17cc1,2007,male,United Kingdom,United Kingdom,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Polish"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1}]",TRUE,TRUE,intermediate,3,TRUE,1,FALSE,,14,12.0,1,12,,,main_files/trial_di/07_di_150hz_75db_250ff-40p-140.wav,5,,h,h,TRUE,0,12,,21,1,4.8592,Razer Blackshark V2,2388.0448,38.0,4,1,1,True,21,21,True,1,1,True,1,1,True,21,1,True,True,40,p,140,155.0
unknown_lab,ea57eb5a-74a8-4452-9839-6d0923408342,2026-05-31_23h49.02.675,6a088a5e43d21c6f1cbf1133,6a1c801cda008e26918c5e33,6a1cba924c3a9b0396f17cc1,2007,male,United Kingdom,United Kingdom,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Polish"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1}]",TRUE,TRUE,intermediate,3,TRUE,1,FALSE,,14,12.0,2,"13,12",,,main_files/trial_di/07_di_150hz_75db_250ff-30p-140.wav,6,,h,h,TRUE,0,12,,21,1,6.4509,Razer Blackshark V2,2388.0448,38.0,4,1,1,True,21,21,True,1,1,True,1,1,True,21,1,True,True,30,p,140,155.0
unknown_lab,ea57eb5a-74a8-4452-9839-6d0923408342,2026-05-31_23h49.02.675,6a088a5e43d21c6f1cbf1133,6a1c801cda008e26918c5e33,6a1cba924c3a9b0396f17cc1,2007,male,United Kingdom,United Kingdom,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Polish"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1}]",TRUE,TRUE,intermediate,3,TRUE,1,FALSE,,14,10.0,1,10,,,main_files/trial_di/07_di_150hz_75db_250ff-30n-100.wav,7,,l,l,TRUE,0,10,,21,1,5.1579,Razer Blackshark V2,2388.0448,38.0,4,1,1,True,21,21,True,1,1,True,1,1,True,21,1,True,True,30,n,100,145.0
unknown_lab,ea57eb5a-74a8-4452-9839-6d0923408342,2026-05-31_23h49.02.675,6a088a5e43d21c6f1cbf1133,6a1c801cda008e26918c5e33,6a1cba924c3a9b0396f17cc1,2007,male,United Kingdom,United Kingdom,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Polish"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1}]",TRUE,TRUE,intermediate,3,TRUE,1,FALSE,,14,11.0,9,"9,10,11,12,11,10,11,10,11",,,main_files/trial_di/07_di_150hz_75db_250ff-000-40.wav,8,,m,m,TRUE,0,11,,21,1,16.2455,Razer Blackshark V2,2388.0448,38.0,4,1,1,True,21,21,True,1,1,True,1,1,True,21,1,True,True,0,0,0,150.0
unknown_lab,ea57eb5a-74a8-4452-9839-6d0923408342,2026-05-31_23h49.02.675,6a088a5e43d21c6f1cbf1133,6a1c801cda008e26918c5e33,6a1cba924c3a9b0396f17cc1,2007,male,United Kingdom,United Kingdom,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Polish"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1}]",TRUE,TRUE,intermediate,3,TRUE,1,FALSE,,14,11.0,3,"10,12,11",,,main_files/trial_di/07_di_150hz_75db_250ff-10n-40.wav,9,,l,m,FALSE,0,11,,21,1,9.3287,Razer Blackshark V2,2388.0448,38.0,4,1,1,True,21,21,True,1,1,True,1,1,True,21,1,True,True,10,n,40,150.0
